Address,opAirdropScore,TokenBalanceGIV,TokenBalanceOP,GRDonations,EthDeposits,OptimismBridges,OpTreasuryPayouts,IsOptimismDelegate,InteractedWithContracts,CreatedGnosisSafe,OwnsGnosisSafe,ExecutedGnosisTx,isPartOfOPTreasury,IsGitcoinProjectOwner,GitcoinPassportScore,RegenPOAPs,OptimismTxCount,TrustedSeedMember,GivethActivity,TotalScore
0x8f73be66ca8c79382f72139be03746343bf5faa0,false,false,769.95,0,false,4,1,1,1,false,false,false,false,1,false,false,64,false,1,2310
0xb074ec6c37659525eef2fb44478077901f878012,false,false,93930.03,0,false,0,1,1,1,false,false,false,false,false,false,false,1,false,false,1210
0xdb5781a835b60110298ff7205d8ef9678ff1f800,false,false,false,0,false,0,0,1,1,false,false,false,false,1,false,false,2,false,false,1000
0x3d2d722b443a5cae8e41877bb7cd649f3650937c,false,false,false,0,false,0,0,1,1,false,false,false,false,false,false,false,1,false,false,800
0x45a10f35befa4ab841c77860204b133118b7ccae,false,false,616.72,0,false,5,2,1,1,1,1,1,false,false,false,false,97,false,false,2410
0x6cea573473348367a5f66e0f261bfa25799e6a60,false,false,407.89,0,false,1,2,1,1,false,false,false,false,false,false,false,121,false,false,1510
0x1dd174bf2e090d0f1b1360ac8905780429b2642b,false,false,42067.00,0,false,0,2,1,1,false,false,false,false,false,false,false,1,false,false,1210
0x13838884271ec954cb036d0b29d404afab5eae2a,false,false,false,0,false,0,1,1,1,false,false,false,false,false,false,false,1,false,false,1200
0x9e5b45e4872de2ee4b6ffbd06b3735501826b032,false,false,1451.39,0,false,0,2,1,1,false,false,false,false,false,false,false,10,false,false,1210
0xc94ae9860b37170c08e51f453f8124a86cd7c0cd,false,false,false,0,false,0,0,1,1,false,false,false,false,false,false,false,1,false,false,800
0x7ae109a63ff4dc852e063a673b40bed85d22e585,false,false,4.00,0,false,0,0,1,false,false,false,false,false,false,false,false,false,false,false,510
0x62a43123fe71f9764f26554b3f5017627996816a,false,false,false,0,false,0,1,1,1,false,false,false,false,false,false,false,13,false,false,1200
0x9cbe5b896d0c24acf41860b9e3df6750c2040a40,false,false,false,0,false,0,0,1,false,false,false,false,false,false,false,false,false,false,false,500
0xc70abe97baf38782fa479b23311b611d0e82076b,false,false,false,0,false,0,0,1,1,false,false,false,false,false,false,false,8,false,false,800
0x38e77e487518851f47e8470433d69f3119304d7c,false,false,false,0,false,0,0,1,1,false,1,1,false,false,false,false,1,false,false,1700
